ACCIDENT_NO,ATMOSPH_COND_DESC,ATMOSPH_INDEX
T20120000009,Clear,1.0
T20120000012,Clear,1.0
T20120000013,Clear,1.0
T20120000018,Clear,1.0
T20120000021,Clear,1.0
T20120000028,Clear,1.0
T20120000032,Clear,1.0
T20120000043,Clear,1.0
T20120000044,Clear,1.0
T20120000046,Clear,1.0
T20120000050,Clear,1.0
T20120000053,Clear,1.0
T20120000054,Clear,1.0
T20120000056,Clear,1.0
T20120000058,Clear,1.0
T20120000059,Clear,1.0
T20120000060,Clear,1.0
T20120000062,Clear,1.0
T20120000063,Clear,1.0
T20120000064,Clear,1.0
T20120000065,Clear,1.0
T20120000066,Clear,1.0
T20120000079,Clear,1.0
T20120000083,Clear,1.0
T20120000084,Clear,1.0
T20120000086,Clear,1.0
T20120000087,Clear,1.0
T20120000090,Clear,1.0
T20120000091,Clear,1.0
T20120000093,Clear,1.0
T20120000096,Clear,1.0
T20120000097,Clear,1.0
T20120000098,Clear,1.0
T20120000099,Clear,1.0
T20120000100,Clear,1.0
T20120000104,Clear,1.0
T20120000109,Clear,1.0
T20120000116,Clear,1.0
T20120000124,Clear,1.0
T20120000131,Clear,1.0
T20120000133,Clear,1.0
T20120000137,Clear,1.0
T20120000138,Clear,1.0
T20120000139,Clear,1.0
T20120000141,Clear,1.0
T20120000142,Clear,1.0
T20120000146,Clear,1.0
T20120000147,Clear,1.0
T20120000148,Clear,1.0
T20120000152,Raining,3.0
T20120000155,Clear,1.0
T20120000165,Clear,1.0
T20120000167,Clear,1.0
T20120000169,Clear,1.0
T20120000174,Clear,1.0
T20120000178,Clear,1.0
T20120000185,Raining,3.0
T20120000186,Raining,3.0
T20120000190,Raining,3.0
T20120000195,Raining,3.0
T20120000204,Clear,1.0
T20120000205,Clear,1.0
T20120000206,"Dust, Strong winds",2.67
T20120000211,Clear,1.0
T20120000214,Clear,1.0
T20120000216,Clear,1.0
T20120000224,Clear,1.0
T20120000225,Clear,1.0
T20120000227,Clear,1.0
T20120000237,Clear,1.0
T20120000238,Clear,1.0
T20120000242,Clear,1.0
T20120000245,Clear,1.0
T20120000246,Clear,1.0
T20120000251,Clear,1.0
T20120000253,Clear,1.0
T20120000255,Clear,1.0
T20120000256,Clear,1.0
T20120000258,Clear,1.0
T20120000263,Clear,1.0
T20120000264,Clear,1.0
T20120000275,Clear,1.0
T20120000277,Clear,1.0
T20120000278,Clear,1.0
T20120000279,Clear,1.0
T20120000285,Clear,1.0
