ACCIDENT_NO,SURFACE_COND_DESC,SURFACE_INDEX
T20120000009,Dry,1.0
T20120000012,Dry,1.0
T20120000013,Dry,1.0
T20120000018,Dry,1.0
T20120000021,Dry,1.0
T20120000028,Dry,1.0
T20120000032,Dry,1.0
T20120000043,Dry,1.0
T20120000044,Dry,1.0
T20120000046,Dry,1.0
T20120000050,Dry,1.0
T20120000053,Dry,1.0
T20120000054,Dry,1.0
T20120000056,Dry,1.0
T20120000058,Dry,1.0
T20120000059,Dry,1.0
T20120000060,Dry,1.0
T20120000062,Dry,1.0
T20120000063,Dry,1.0
T20120000064,Dry,1.0
T20120000065,Dry,1.0
T20120000066,Dry,1.0
T20120000079,Dry,1.0
T20120000082,Dry,1.0
T20120000083,Dry,1.0
T20120000084,Dry,1.0
T20120000086,Dry,1.0
T20120000087,Dry,1.0
T20120000090,Dry,1.0
T20120000091,Dry,1.0
T20120000093,Dry,1.0
T20120000096,Dry,1.0
T20120000097,Dry,1.0
T20120000098,Dry,1.0
T20120000099,Dry,1.0
T20120000100,Dry,1.0
T20120000104,Dry,1.0
T20120000109,Dry,1.0
T20120000116,Dry,1.0
T20120000124,Dry,1.0
T20120000131,Dry,1.0
T20120000133,Dry,1.0
T20120000137,Dry,1.0
T20120000138,Dry,1.0
T20120000139,Dry,1.0
T20120000141,Dry,1.0
T20120000142,Dry,1.0
T20120000146,Dry,1.0
T20120000147,Dry,1.0
T20120000148,Dry,1.0
T20120000152,Wet,2.0
T20120000155,Dry,1.0
T20120000165,Dry,1.0
T20120000167,Dry,1.0
T20120000169,Dry,1.0
T20120000174,Dry,1.0
T20120000178,Dry,1.0
T20120000185,Wet,2.0
T20120000186,Wet,2.0
T20120000190,Wet,2.0
T20120000195,Wet,2.0
T20120000196,Wet,2.0
T20120000204,Wet,2.0
T20120000205,Dry,1.0
T20120000206,Dry,1.0
T20120000211,Dry,1.0
T20120000214,Dry,1.0
T20120000216,Dry,1.0
T20120000224,Dry,1.0
T20120000225,Dry,1.0
T20120000227,Dry,1.0
T20120000237,Dry,1.0
T20120000238,Dry,1.0
T20120000242,Dry,1.0
T20120000245,Dry,1.0
T20120000246,Dry,1.0
T20120000251,Dry,1.0
T20120000253,Dry,1.0
T20120000255,Dry,1.0
T20120000256,Dry,1.0
T20120000258,Dry,1.0
T20120000263,Dry,1.0
T20120000264,Dry,1.0
T20120000274,Dry,1.0
T20120000275,Dry,1.0
T20120000277,Dry,1.0
T20120000278,Dry,1.0
T20120000279,Dry,1.0
T20120000285,Dry,1.0
T20120000286,Dry,1.0
T20120000293,Dry,1.0
T20120000300,Dry,1.0
T20120000304,Dry,1.0
T20120000306,Dry,1.0
T20120000307,Dry,1.0
T20120000314,Dry,1.0
T20120000315,Dry,1.0
T20120000318,Dry,1.0
T20120000321,Dry,1.0
T20120000323,Dry,1.0
T20120000328,Dry,1.0
T20120000329,Dry,1.0
T20120000334,Dry,1.0
T20120000338,Dry,1.0
T20120000342,Dry,1.0
T20120000343,Dry,1.0
